MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20250401,42125,Washington County,PA,22.68,77.32,0.00,0.00,0.00,0.00,2025-04-01,2025-04-07,1
20250325,42125,Washington County,PA,22.68,77.32,0.00,0.00,0.00,0.00,2025-03-25,2025-03-31,1
20250318,42125,Washington County,PA,32.27,67.73,0.00,0.00,0.00,0.00,2025-03-18,2025-03-24,1
20250311,42125,Washington County,PA,32.27,67.73,0.00,0.00,0.00,0.00,2025-03-11,2025-03-17,1
20250304,42125,Washington County,PA,32.23,67.77,0.00,0.00,0.00,0.00,2025-03-04,2025-03-10,1
20250225,42125,Washington County,PA,32.23,67.77,0.00,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,42125,Washington County,PA,8.63,91.37,0.00,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,42125,Washington County,PA,0.00,100.00,92.07,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,42125,Washington County,PA,0.00,100.00,92.07,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,42125,Washington County,PA,0.00,100.00,92.07,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,42125,Washington County,PA,0.00,100.00,92.07,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,42125,Washington County,PA,0.00,100.00,92.07,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,42125,Washington County,PA,0.00,100.00,92.07,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,42125,Washington County,PA,0.00,100.00,92.07,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20241224,42125,Washington County,PA,0.00,100.00,92.07,0.00,0.00,0.00,2024-12-24,2024-12-30,1
20241217,42125,Washington County,PA,0.00,100.00,92.07,0.00,0.00,0.00,2024-12-17,2024-12-23,1
20241210,42125,Washington County,PA,0.00,100.00,100.00,0.00,0.00,0.00,2024-12-10,2024-12-16,1
20241203,42125,Washington County,PA,0.00,100.00,100.00,0.00,0.00,0.00,2024-12-03,2024-12-09,1
20241126,42125,Washington County,PA,0.00,100.00,100.00,85.81,0.00,0.00,2024-11-26,2024-12-02,1
20241119,42125,Washington County,PA,0.00,100.00,100.00,99.68,19.82,0.00,2024-11-19,2024-11-25,1
20241112,42125,Washington County,PA,0.00,100.00,100.00,98.94,73.40,0.00,2024-11-12,2024-11-18,1
20241105,42125,Washington County,PA,0.00,100.00,100.00,98.94,73.40,0.00,2024-11-05,2024-11-11,1
20241029,42125,Washington County,PA,0.00,100.00,100.00,96.51,0.01,0.00,2024-10-29,2024-11-04,1
20241022,42125,Washington County,PA,0.00,100.00,100.00,13.41,0.01,0.00,2024-10-22,2024-10-28,1
20241015,42125,Washington County,PA,0.00,100.00,100.00,13.41,0.01,0.00,2024-10-15,2024-10-21,1
20241008,42125,Washington County,PA,0.00,100.00,100.00,13.41,0.01,0.00,2024-10-08,2024-10-14,1
20241001,42125,Washington County,PA,0.00,100.00,100.00,13.71,0.01,0.00,2024-10-01,2024-10-07,1
20240924,42125,Washington County,PA,0.00,100.00,100.00,15.12,0.00,0.00,2024-09-24,2024-09-30,1
20240917,42125,Washington County,PA,0.00,100.00,100.00,15.12,0.00,0.00,2024-09-17,2024-09-23,1
20240910,42125,Washington County,PA,0.00,100.00,100.00,15.12,0.00,0.00,2024-09-10,2024-09-16,1
